Name,Mid-year 1991,Mid-year 1992,Mid-year 1993,Mid-year 1994,Mid-year 1995,Mid-year 1996,Mid-year 1997,Mid-year 1998,Mid-year 1999,Mid-year 2000,Mid-year 2001,Mid-year 2002,Mid-year 2003,Mid-year 2004,Mid-year 2005,Mid-year 2006,Mid-year 2007,Mid-year 2008,Mid-year 2009,Mid-year 2010,Mid-year 2011,Mid-year 2012,Mid-year 2013,Mid-year 2014,Mid-year 2015,Mid-year 2016,Mid-year 2017,Mid-year 2018,Mid-year 2019,Mid-year 2020,Mid-year 2021,Mid-year 2022,Mid-year 2023
Blaenau Gwent ,72666.00,72592.00,72521.00,72770.00,72569.00,72289.00,72031.00,71292.00,71028.00,70537.00,70000.00,69452.00,69228.00,69242.00,69188.00,69610.00,69685.00,69820.00,69850.00,69798.00,69812.00,69589.00,69186.00,68737.00,68395.00,68135.00,67829.00,67566.00,67382.00,67219.00,66989.00,66960.00,67356.00
Bridgend ,129477.00,129796.00,130129.00,130063.00,129466.00,128667.00,127996.00,128652.00,128585.00,128224.00,128735.00,129741.00,131032.00,131947.00,132893.00,134164.00,135949.00,137175.00,137783.00,138471.00,139410.00,139985.00,140579.00,141333.00,142177.00,142887.00,143355.00,143583.00,144500.00,145434.00,145738.00,146135.00,146743.00
Caerphilly ,170615.00,170129.00,170243.00,169559.00,168186.00,167385.00,167532.00,167921.00,168566.00,169045.00,169546.00,170776.00,171363.00,172361.00,172777.00,173741.00,174987.00,176259.00,177159.00,178101.00,178782.00,178563.00,178236.00,178513.00,178269.00,178013.00,177610.00,177277.00,176735.00,176805.00,175999.00,176131.00,176437.00
Cardiff ,296941.00,297429.00,299185.00,299085.00,300764.00,305345.00,307321.00,308601.00,310320.00,311443.00,310088.00,312021.00,313246.00,317099.00,321001.00,323766.00,328196.00,332790.00,337656.00,341402.00,345442.00,348084.00,349982.00,350949.00,351600.00,352982.00,354348.00,355125.00,357137.00,360287.00,359824.00,371104.00,383536.00
Carmarthenshire ,169725.00,169265.00,169255.00,169962.00,171060.00,171145.00,171534.00,172039.00,172329.00,172874.00,173652.00,174628.00,176133.00,177487.00,178229.00,179504.00,181314.00,182517.00,182846.00,183004.00,183961.00,184206.00,184252.00,184349.00,184404.00,184985.00,184984.00,185444.00,186125.00,187391.00,188172.00,189148.00,190083.00
Ceredigion ,65933.00,67536.00,68854.00,69937.00,70818.00,70609.00,71807.00,72518.00,74046.00,74942.00,75417.00,75500.00,75581.00,75775.00,75485.00,75342.00,75326.00,74971.00,74642.00,75217.00,75293.00,76215.00,76087.00,75197.00,73724.00,72900.00,72220.00,71291.00,70639.00,71421.00,70676.00,71873.00,73050.00
Conwy ,107951.00,107782.00,108142.00,108891.00,108940.00,107897.00,108174.00,108470.00,108322.00,108651.00,109674.00,110624.00,111248.00,112272.00,112374.00,113004.00,113778.00,114371.00,114623.00,114682.00,115326.00,115432.00,115313.00,115700.00,115380.00,115391.00,114855.00,114387.00,114196.00,114651.00,114788.00,114303.00,114410.00
Denbighshire ,89395.00,89119.00,89375.00,89572.00,89911.00,90623.00,90616.00,90951.00,91509.00,92525.00,93070.00,93478.00,93872.00,94010.00,93978.00,93983.00,94530.00,94739.00,94444.00,94152.00,93919.00,94119.00,94378.00,94670.00,94691.00,94723.00,94597.00,94596.00,94766.00,95558.00,96047.00,96602.00,97156.00
Flintshire ,142036.00,143493.00,144049.00,144539.00,144844.00,144106.00,144643.00,146261.00,146824.00,147930.00,148629.00,148947.00,149176.00,149681.00,149890.00,150125.00,150816.00,151501.00,151985.00,152080.00,152666.00,152660.00,152906.00,153439.00,153688.00,154166.00,154587.00,154587.00,154592.00,155004.00,155045.00,155334.00,155812.00
Gwynedd ,115007.00,115426.00,115717.00,116330.00,117526.00,117486.00,117606.00,117384.00,116362.00,116699.00,116844.00,117344.00,118022.00,118721.00,118641.00,119070.00,119398.00,119746.00,120344.00,121155.00,121523.00,121439.00,120403.00,119796.00,119632.00,118958.00,118881.00,118129.00,117584.00,118180.00,117072.00,117997.00,119173.00
Isle of Anglesey ,69123.00,69379.00,69772.00,69187.00,68426.00,68592.00,68109.00,67692.00,67978.00,67898.00,67806.00,67879.00,68140.00,68753.00,69095.00,69388.00,69700.00,69916.00,69884.00,69833.00,69913.00,69964.00,69880.00,69761.00,69415.00,68826.00,68617.00,68539.00,68278.00,68794.00,68937.00,69070.00,69291.00
Merthyr Tydfil ,59594.00,59764.00,59517.00,59346.00,58658.00,58132.00,57371.00,57148.00,56516.00,56218.00,56207.00,55996.00,55955.00,56020.00,56259.00,56627.00,57173.00,57688.00,58156.00,58493.00,58851.00,58869.00,58791.00,58859.00,58922.00,59247.00,59337.00,59349.00,59255.00,59194.00,58869.00,58881.00,58593.00
Monmouthshire ,80209.00,80207.00,81637.00,83200.00,84315.00,85209.00,85209.00,83921.00,83980.00,84458.00,84984.00,85417.00,86605.00,87829.00,88611.00,89090.00,89592.00,90109.00,90557.00,91016.00,91508.00,91623.00,91822.00,91864.00,91867.00,92024.00,91791.00,91834.00,91730.00,92456.00,93163.00,93985.00,94572.00
Neath Port Talbot ,138844.00,138496.00,138219.00,138597.00,137751.00,137327.00,136679.00,136085.00,135356.00,134834.00,134380.00,134931.00,136233.00,137144.00,137670.00,138323.00,138957.00,139481.00,139537.00,139638.00,139880.00,139694.00,139093.00,139439.00,139704.00,141000.00,141022.00,141342.00,141385.00,142308.00,141934.00,142204.00,142898.00
Newport ,135479.00,135515.00,135271.00,135461.00,135140.00,134707.00,135241.00,137328.00,136615.00,136932.00,137642.00,138727.00,139121.00,139316.00,139617.00,140557.00,141376.00,142744.00,143753.00,144803.00,145785.00,146760.00,147586.00,148150.00,148948.00,150926.00,153234.00,155222.00,156773.00,158438.00,159687.00,161565.00,163628.00
Pembrokeshire ,112446.00,113146.00,112885.00,113086.00,112249.00,112141.00,111640.00,111814.00,111667.00,112538.00,113058.00,114146.00,115147.00,116428.00,117204.00,118278.00,119640.00,121134.00,121563.00,121974.00,122613.00,122621.00,122302.00,122148.00,121721.00,121438.00,121382.00,121194.00,121432.00,122572.00,123633.00,124365.00,125006.00
Powys ,119703.00,120368.00,121072.00,121400.00,121843.00,123954.00,124604.00,125438.00,125632.00,126134.00,126398.00,127145.00,128295.00,129568.00,130210.00,131037.00,131982.00,132865.00,133090.00,132878.00,133071.00,133146.00,132719.00,132809.00,132945.00,132531.00,132460.00,131967.00,131556.00,132199.00,133521.00,133874.00,134439.00
Rhondda Cynon Taf ,234917.00,235202.00,235468.00,235147.00,235553.00,235369.00,236043.00,234474.00,233904.00,232370.00,231910.00,231795.00,232361.00,233971.00,234070.00,234493.00,234471.00,234724.00,234743.00,234459.00,234373.00,235271.00,235145.00,235284.00,235233.00,235567.00,236357.00,236685.00,237574.00,238039.00,237545.00,239235.00,241178.00
Swansea ,229743.00,229610.00,229349.00,228239.00,227765.00,227199.00,226764.00,225702.00,225080.00,224475.00,223463.00,224755.00,226350.00,228176.00,229347.00,230793.00,232460.00,234139.00,235601.00,237311.00,238691.00,239197.00,239237.00,239228.00,239354.00,239300.00,239266.00,239184.00,238707.00,238992.00,237897.00,242039.00,246742.00
Torfaen ,90961.00,91188.00,90899.00,90928.00,90955.00,91268.00,91364.00,91355.00,91129.00,91214.00,90912.00,90700.00,90719.00,90516.00,90644.00,90820.00,90974.00,91094.00,91199.00,91060.00,91190.00,91199.00,90842.00,90866.00,90844.00,90730.00,90638.00,91130.00,91685.00,92337.00,92454.00,92863.00,93419.00
Vale of Glamorgan ,118053.00,117605.00,117050.00,116850.00,116347.00,116327.00,116950.00,118297.00,117944.00,119276.00,119277.00,120279.00,120980.00,122101.00,122877.00,123642.00,124732.00,125713.00,126162.00,126435.00,126679.00,126703.00,126458.00,126714.00,126261.00,127082.00,128377.00,129165.00,129802.00,131224.00,132491.00,133619.00,134733.00
Wrexham ,124180.00,124627.00,124949.00,125298.00,125431.00,125527.00,125637.00,126178.00,126907.00,127653.00,128540.00,128595.00,128914.00,129005.00,129249.00,130311.00,131263.00,132371.00,133295.00,134009.00,135070.00,135589.00,135861.00,135983.00,135565.00,135354.00,135619.00,136244.00,135899.00,135980.00,135152.00,135389.00,136149.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
